Month,Ayr Hospital,BARCALDINE HOSPITAL,BLACKALL HOSPITAL,Beaudesert Hospital,Biloela Hospital,Caloundra Hospital,Capricorn Coast Hospital,Charleville Hospital,Charters Towers Hospital,Cherbourg Hospital,Chinchilla Hospital,Cooktown Hospital,Cunnamulla Hospital,Dalby Hospital,Emerald Hospital,Goondiwindi Hospital,Ingham Hospital,Innisfail Hospital,Joyce Palmer Health Service,Kingaroy Hospital,Longreach Hospital,Oakey Hospital,Proserpine Hospital,Roma Hospital,St George Hospital,Stanthorpe Hospital,Thursday Island Hospital,WINTON  HOSPITAL,Warwick Hospital,Weipa Hospital
2015-07-01,822.0,241.0,171.0,1175.0,524.0,0.0,1019.0,514.0,805.0,489.0,598.0,454.0,194.0,884.0,1020.0,662.0,653.0,1175.0,708.0,1336.0,405.0,186.0,915.0,810.0,484.0,574.0,364.0,125.0,1476.0,656.0
2015-08-01,971.0,287.0,167.0,1408.0,523.0,0.0,1086.0,603.0,837.0,425.0,688.0,417.0,211.0,1037.0,1159.0,830.0,614.0,1376.0,696.0,1526.0,421.0,235.0,1110.0,836.0,562.0,713.0,374.0,140.0,1733.0,564.0
2015-09-01,881.0,226.0,159.0,1186.0,415.0,0.0,1029.0,555.0,792.0,460.0,650.0,351.0,189.0,994.0,1079.0,822.0,582.0,1230.0,782.0,1318.0,416.0,221.0,841.0,806.0,541.0,612.0,370.0,177.0,1609.0,533.0
2015-10-01,885.0,222.0,133.0,1232.0,482.0,0.0,1071.0,446.0,766.0,427.0,639.0,392.0,210.0,915.0,1037.0,785.0,622.0,1273.0,624.0,1241.0,362.0,207.0,875.0,772.0,462.0,585.0,465.0,115.0,1602.0,523.0
2015-11-01,833.0,169.0,137.0,1250.0,579.0,0.0,1137.0,472.0,776.0,421.0,610.0,369.0,219.0,932.0,1033.0,715.0,573.0,1309.0,671.0,1328.0,329.0,202.0,870.0,741.0,410.0,596.0,456.0,145.0,1596.0,567.0
2015-12-01,857.0,118.0,201.0,1190.0,488.0,0.0,1186.0,383.0,767.0,573.0,655.0,289.0,199.0,1081.0,968.0,809.0,648.0,1305.0,695.0,1411.0,408.0,218.0,948.0,698.0,523.0,719.0,454.0,107.0,1649.0,591.0
2016-01-01,950.0,124.0,216.0,1239.0,478.0,0.0,1126.0,476.0,763.0,493.0,616.0,312.0,177.0,1047.0,1020.0,765.0,647.0,1356.0,736.0,1329.0,393.0,231.0,940.0,721.0,485.0,728.0,398.0,128.0,1646.0,540.0
2016-02-01,854.0,120.0,153.0,1193.0,500.0,0.0,1048.0,619.0,789.0,454.0,621.0,344.0,146.0,921.0,1089.0,705.0,579.0,1301.0,775.0,1411.0,379.0,231.0,831.0,758.0,412.0,711.0,414.0,118.0,1619.0,663.0
2016-03-01,952.0,106.0,171.0,1271.0,558.0,0.0,1150.0,492.0,819.0,485.0,726.0,313.0,144.0,1008.0,1102.0,723.0,597.0,1461.0,719.0,1447.0,415.0,222.0,936.0,816.0,452.0,915.0,482.0,120.0,1753.0,633.0
2016-04-01,929.0,206.0,168.0,1152.0,582.0,0.0,1200.0,534.0,747.0,484.0,731.0,324.0,208.0,1046.0,986.0,672.0,625.0,1266.0,676.0,1242.0,456.0,223.0,906.0,674.0,455.0,786.0,404.0,96.0,1571.0,541.0
2016-05-01,1014.0,269.0,187.0,1217.0,580.0,0.0,1194.0,595.0,863.0,552.0,686.0,389.0,162.0,988.0,1142.0,685.0,585.0,1353.0,635.0,1355.0,511.0,222.0,923.0,808.0,485.0,857.0,432.0,112.0,1534.0,613.0
2016-06-01,827.0,192.0,191.0,1077.0,521.0,0.0,1044.0,479.0,720.0,563.0,630.0,369.0,150.0,865.0,1010.0,609.0,519.0,1230.0,704.0,1297.0,495.0,217.0,866.0,745.0,447.0,720.0,408.0,140.0,1442.0,623.0
2016-07-01,907.0,220.0,188.0,1168.0,524.0,0.0,1105.0,575.0,781.0,545.0,601.0,464.0,182.0,969.0,975.0,768.0,640.0,1299.0,571.0,1376.0,387.0,230.0,919.0,678.0,493.0,762.0,420.0,136.0,1632.0,631.0
2016-08-01,1003.0,240.0,229.0,1191.0,575.0,0.0,1156.0,574.0,892.0,607.0,662.0,386.0,178.0,957.0,1059.0,711.0,624.0,1277.0,692.0,1482.0,473.0,264.0,929.0,748.0,526.0,739.0,403.0,139.0,1701.0,681.0
2016-09-01,1072.0,197.0,189.0,1183.0,545.0,0.0,1076.0,523.0,865.0,517.0,654.0,376.0,163.0,916.0,984.0,794.0,615.0,1198.0,809.0,1425.0,404.0,226.0,995.0,637.0,441.0,712.0,458.0,111.0,1851.0,666.0
2016-10-01,954.0,232.0,217.0,1211.0,578.0,0.0,1133.0,450.0,837.0,555.0,753.0,392.0,180.0,974.0,1012.0,799.0,593.0,1284.0,712.0,1501.0,413.0,243.0,1036.0,760.0,505.0,696.0,533.0,126.0,1867.0,677.0
